Series,Status,Apps.,Part Number,Previous Part Number,Capacitance,Size(LxW),T(max),Rated Volt.[Vdc],Temperature Characteristic,Cap. Tole.,tanδ(max) [%],Q(min),Temp.[℃],Case Size(EIA/JIS),Dimension L,Dimension W,Dimension T,Standard Quantity,RoHS,Q200
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5152KFNA01,UMK063BJ152KP-F,1500 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5152MFNA01,UMK063BJ152MP-F,1500 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5102KFNA01,UMK063BJ102KP-F,1000 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5102MFNA01,UMK063BJ102MP-F,1000 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5681KFNA01,UMK063BJ681KP-F,680 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5681MFNA01,UMK063BJ681MP-F,680 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5471KFNA01,UMK063BJ471KP-F,470 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5471MFNA01,UMK063BJ471MP-F,470 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5331KFNA01,UMK063BJ331KP-F,330 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5331MFNA01,UMK063BJ331MP-F,330 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5221KFNA01,UMK063BJ221KP-F,220 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5221MFNA01,UMK063BJ221MP-F,220 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5151KFNA01,UMK063BJ151KP-F,150 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5151MFNA01,UMK063BJ151MP-F,150 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5101KFNA01,UMK063BJ101KP-F,100 pF,0.6x0.3,0.33,50,X5R/B,± 10 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB5101MFNA01,UMK063BJ101MP-F,100 pF,0.6x0.3,0.33,50,X5R/B,± 20 %,3.5,,-55 to +85,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7102KFNA01,UMK063B7102KP-F,1000 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7102MFNA01,UMK063B7102MP-F,1000 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7681KFNA01,UMK063B7681KP-F,680 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7681MFNA01,UMK063B7681MP-F,680 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7471KFNA01,UMK063B7471KP-F,470 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7471MFNA01,UMK063B7471MP-F,470 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7331KFNA01,UMK063B7331KP-F,330 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7331MFNA01,UMK063B7331MP-F,330 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7221KFNA01,UMK063B7221KP-F,220 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7221MFNA01,UMK063B7221MP-F,220 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7151KFNA01,UMK063B7151KP-F,150 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7151MFNA01,UMK063B7151MP-F,150 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7101KFNA01,UMK063B7101KP-F,100 pF,0.6x0.3,0.33,50,X7R,± 10 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU063SB7101MFNA01,UMK063B7101MP-F,100 pF,0.6x0.3,0.33,50,X7R,± 20 %,3.5,,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105CB5105KFNA01,UMK105CBJ105KV-F,1 uF,1.0x0.5,0.7,50,X5R,± 10 %,10,,-55 to +85,0402/1005,1.0 +0.20/-0.00,0.5 +0.20/-0.00,0.5 +0.20/-0.00,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105CB5105MFNA01,UMK105CBJ105MV-F,1 uF,1.0x0.5,0.7,50,X5R,± 20 %,10,,-55 to +85,0402/1005,1.0 +0.20/-0.00,0.5 +0.20/-0.00,0.5 +0.20/-0.00,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105AB5474KFNA01,UMK105ABJ474KV-F,0.47 uF,1.0x0.5,0.6,50,X5R,± 10 %,10,,-55 to +85,0402/1005,1.0 ±0.10,0.5 ±0.10,0.5 ±0.10,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105AB5474MFNA01,UMK105ABJ474MV-F,0.47 uF,1.0x0.5,0.6,50,X5R,± 20 %,10,,-55 to +85,0402/1005,1.0 ±0.10,0.5 ±0.10,0.5 ±0.10,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5224KFNA01,UMK105BJ224KV-F,0.22 uF,1.0x0.5,0.55,50,X5R,± 10 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5224MFNA01,UMK105BJ224MV-F,0.22 uF,1.0x0.5,0.55,50,X5R,± 20 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5104KFNA01,UMK105BJ104KV-F,0.1 uF,1.0x0.5,0.55,50,X5R,± 10 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5104MFNA01,UMK105BJ104MV-F,0.1 uF,1.0x0.5,0.55,50,X5R,± 20 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5473KFNA01,UMK105BJ473KV-F,0.047 uF,1.0x0.5,0.55,50,X5R,± 10 %,5,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5473MFNA01,UMK105BJ473MV-F,0.047 uF,1.0x0.5,0.55,50,X5R,± 20 %,5,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5223KFNA01,UMK105BJ223KV-F,0.022 uF,1.0x0.5,0.55,50,X5R,± 10 %,5,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB5223MFNA01,UMK105BJ223MV-F,0.022 uF,1.0x0.5,0.55,50,X5R,± 20 %,5,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU1L3YB5104KFNA01,UMK105BJ104KP-F,0.1 uF,1.0x0.5,0.33,50,X5R,± 10 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU1L3YB5104MFNA01,UMK105BJ104MP-F,0.1 uF,1.0x0.5,0.33,50,X5R,± 20 %,10,,-55 to +85,0402/1005,1.0 ±0.05,0.5 ±0.05,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7104KFNB25,UMK105B7104KV-FR,0.1 uF,1.0x0.5,0.55,50,X7R,± 10 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7104MFNB25,UMK105B7104MV-FR,0.1 uF,1.0x0.5,0.55,50,X7R,± 20 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7473KFNB25,UMK105B7473KV-FR,0.047 uF,1.0x0.5,0.55,50,X7R,± 10 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7473MFNB25,UMK105B7473MV-FR,0.047 uF,1.0x0.5,0.55,50,X7R,± 20 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7223KFNB25,UMK105B7223KV-FR,0.022 uF,1.0x0.5,0.55,50,X7R,± 10 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7223MFNB25,UMK105B7223MV-FR,0.022 uF,1.0x0.5,0.55,50,X7R,± 20 %,10,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7103KFNA01,UMK105B7103KV-F,0.01 uF,1.0x0.5,0.55,50,X7R,± 10 %,3.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7103MFNA01,UMK105B7103MV-F,0.01 uF,1.0x0.5,0.55,50,X7R,± 20 %,3.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7682KFNA01,UMK105B7682KV-F,6800 pF,1.0x0.5,0.55,50,X7R,± 10 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7682MFNA01,UMK105B7682MV-F,6800 pF,1.0x0.5,0.55,50,X7R,± 20 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7472KFNA01,UMK105B7472KV-F,4700 pF,1.0x0.5,0.55,50,X7R,± 10 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7472MFNA01,UMK105B7472MV-F,4700 pF,1.0x0.5,0.55,50,X7R,± 20 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7332KFNA01,UMK105B7332KV-F,3300 pF,1.0x0.5,0.55,50,X7R,± 10 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7332MFNA01,UMK105B7332MV-F,3300 pF,1.0x0.5,0.55,50,X7R,± 20 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7222KFNA01,UMK105B7222KV-F,2200 pF,1.0x0.5,0.55,50,X7R,± 10 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7222MFNA01,UMK105B7222MV-F,2200 pF,1.0x0.5,0.55,50,X7R,± 20 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7152KFNA01,UMK105B7152KV-F,1500 pF,1.0x0.5,0.55,50,X7R,± 10 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU105SB7152MFNA01,UMK105B7152MV-F,1500 pF,1.0x0.5,0.55,50,X7R,± 20 %,2.5,,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU168BB5225KTNA01,UMK107BBJ225KA-T,2.2 uF,1.6x0.8,1,50,X5R,± 10 %,10,,-55 to +85,0603/1608,1.6 +0.20/-0.00,0.8 +0.20/-0.00,0.8 +0.20/-0.00,Taping Paper 4000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU168BB5225MTNA01,UMK107BBJ225MA-T,2.2 uF,1.6x0.8,1,50,X5R,± 20 %,10,,-55 to +85,0603/1608,1.6 +0.20/-0.00,0.8 +0.20/-0.00,0.8 +0.20/-0.00,Taping Paper 4000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (High dielectric type) for General Electronic Equipment,Mass Production (Preferred),(S)General Equipment,MSASU168SB5105KTNA01,UMK107BJ105KA-T,1 uF,1.6x0.8,0.9,50,X5R,± 10 %,10,,-55 to +85,0603/1608,1.6 ±0.10,0.8 ±0.10,0.8 ±0.10,Taping Paper 4000pcs,RoHS compliance,
