Capacitance,Capacitance Code,Tolerance,0201 10V,0201 16V,0201 25V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0402 200V,0402 250V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0603 200V,0603 250V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,0805 200V,0805 250V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1206 200V,1206 250V
15pF,150,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
16pF,160,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
18pF,180,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
20pF,200,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
22pF,220,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DM,DM,DM,DM,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
24pF,240,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
27pF,270,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
30pF,300,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
33pF,330,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
36pF,360,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
39pF,390,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
43pF,430,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
47pF,470,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
51pF,510,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
56pF,560,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
62pF,620,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
68pF,680,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
75pF,750,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
82pF,820,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
91pF,910,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
100pF,101,"F, G, J, K, M",AB²,AB²,AB²,BB,BB,BB,BB,BB,BB,BB,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
110pF,111,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
120pF,121,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
130pF,131,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
150pF,151,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
160pF,161,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
180pF,181,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
200pF,201,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
220pF,221,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
240pF,241,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
270pF,271,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
300pF,301,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
330pF,331,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,BD,BD,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
360pF,361,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
390pF,391,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
430pF,431,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
470pF,471,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DP,DP,EB,EB,EB,EB,EB,EB,EB
510pF,511,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
560pF,561,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
620pF,621,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
680pF,681,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
750pF,751,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
820pF,821,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
910pF,911,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DP,DP,DP,EB,EB,EB,EB,EB,EB,EB
1000pF,102,"F, G, J, K, M",,,,BB,BB,BB,BB,BB,,,CF,CF,CF,CF,CF,CF,CF,DN,DN,DN,DN,DP,DP,DP,EB,EB,EB,EB,EB,EB,EB
1100pF,112,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CH,CH,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1200pF,122,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CH,CH,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EB,EB,EB
1300pF,132,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CH,CH,DP,DP,DP,DP,DP,DN,DN,EB,EB,EB,EB,EC,EC,EC
1500pF,152,"F, G, J, K, M",,,,BB,BB,BB,BB,,,,CF,CF,CF,CF,CF,CH,CH,DP,DP,DP,DP,DP,DN,DN,EB,EB,EB,EB,ED,EC,EC
1600pF,162,"F, G, J, K, M",,,,BB,BB,BB,,,,,CF,CF,CF,CF,CF,CH,CH,DP,DP,DP,DP,DP,DN,DN,EB,EB,EB,EB,ED,ED,ED
1800pF,182,"F, G, J, K, M",,,,BB,BB,BB,,,,,CF,CF,CF,CF,CF,CH,CH,DP,DP,DP,DP,DP,DN,DN,EB,EB,EB,EB,ED,ED,ED
2000pF,202,"F, G, J, K, M",,,,BB,BB,BB,,,,,CF,CF,CF,CF,CF,CH,CH,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,ED,ED,ED
2200pF,222,"F, G, J, K, M",,,,BB,BB,BB,,,,,CF,CF,CF,CF,CF,CH,CH,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EE,EE,EE
2400pF,242,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EC,EC,EC
2700pF,272,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DN,DN,DN,DN,DN,DN,DN,EB,EB,EB,EB,EC,EC,EC
3000pF,302,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DP,DP,DP,DP,DN,DN,DN,EC,EC,EC,EC,EC,EB,EB
3300pF,332,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DP,DP,DP,DP,DN,DN,DN,EC,EC,EC,EC,EE,EB,EB
3600pF,362,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DP,DP,DP,DP,DN,DP,DP,EC,EC,EC,EC,EE,EB,EB
3900pF,392,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DE,DE,DE,DE,DN,DP,DP,EC,EC,EC,EC,EF,EB,EB
4300pF,432,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DE,DE,DE,DE,DN,DP,DP,EC,EC,EC,EC,EC,EB,EB
4700pF,472,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,CF,,,DE,DE,DE,DE,DN,DP,DP,EC,EC,EC,EC,EC,EB,EB
5100pF,512,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,,,,DE,DE,DE,DE,DN,DP,DP,ED,ED,ED,ED,ED,EB,EB
5600pF,562,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,,,,DN,DN,DN,DN,DN,DP,DP,ED,ED,ED,ED,ED,EB,EB
6200pF,622,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,,,,DN,DN,DN,DN,DN,DG,DG,EB,EB,EB,EB,EB,EB,EB
6800pF,682,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,CF,,,,DN,DN,DN,DN,DN,DG,DG,EB,EB,EB,EB,EB,EB,EB
7500pF,752,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DN,DN,DG,DG,EB,EB,EB,EB,EB,EB,EB
8200pF,822,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DN,DN,DG,DG,EC,EC,EC,EC,EB,EC,EC
9100pF,912,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DN,DN,,,EC,EC,EC,EC,EB,EC,EC
10000pF,103,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DN,DP,,,ED,ED,ED,ED,EB,EC,EC
12000pF,123,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DN,DE,,,EB,EB,EB,EB,EB,ED,ED
15000pF,153,"F, G, J, K, M",,,,,,,,,,,CF,CF,CF,,,,,DN,DN,DN,DP,DG,,,EB,EB,EB,EB,EB,EF,EF
18000pF,183,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DN,DN,DN,DP,,,,EB,EB,EB,EB,EB,EH,EH
22000pF,223,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DP,DP,DP,DF,,,,EB,EB,EB,EB,EC,EH,EH
27000pF,273,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DF,DF,DF,,,,,EB,EB,EB,EB,EE,,
33000pF,333,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DG,DG,DG,,,,,EB,EB,EB,EB,EE,,
39000pF,393,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DG,DG,DG,,,,,EC,EC,EC,EE,EH,,
47000pF,473,"F, G, J, K, M",,,,,,,,,,,,,,,,,,DG,DG,DG,,,,,EC,EC,EC,EE,EH,,
56000pF,563,"F, G, J, K, M",,,,,,,,,,,,,,,,,,,,,,,,,ED,ED,ED,EF,,,
68000pF,683,"F, G, J, K, M",,,,,,,,,,,,,,,,,,,,,,,,,EF,EF,EF,EH,,,
82000pF,823,"F, G, J, K, M",,,,,,,,,,,,,,,,,,,,,,,,,EH,EH,EH,EH,,,
0.1μF,104,"F, G, J, K, M",,,,,,,,,,,,,,,,,,,,,,,,,EH,EH,EH,,,,
